name,KH,error
1560332_R_pacman,4.261468e-05,4.19469e-06
1560349_A_pacman,0.0009033399,0.000174451
1560349_F_pacman,0.0002505852,1.42411e-05
1560349_R_pacman,5.671839e-11,6.405142e-11
1560420_R_pacman,0.006578086,0.001411594
1560429_A_pacman,5166029000.0,9614010000.0
1560429_R_pacman,0.0004398478,0.0001670136
1560430_A_pacman,496858000000.0,1066072000000.0
1560430_R_pacman,8.118749e-07,3.001214e-08
1560452_A_pacman,232084800.0,254148600.0
1560452_R_pacman,1.761771e-05,1.08325e-05
1560473_IF_pacman,38.57781,47.54723
1560473_R_pacman,0.00989607,0.00349141
1560476_IF_pacman,86.04601,43.07765
1560476_R_pacman,2.844925e-05,4.472091e-06
1560512_F_pacman,0.00154039,0.0009117864
1560512_R_pacman,3.082112e-08,1.027978e-08
1560540_A_pacman,253.0202,156.2961
1560540_R_pacman,1.210955e-07,1.206351e-07
1560568_R_pacman,5.239713,6.471925
1560578_F_pacman,3.888615e-05,6.842545e-06
1560578_R_pacman,5.553462e-05,1.458831e-05
1560579_F_pacman,1.060428e-05,2.714417e-06
1560579_R_pacman,1.343499e-05,9.45726e-06
1560580_F_pacman,7.905382e-06,2.15906e-06
1560580_R_pacman,0.000130452,3.276586e-05
1560631_A_pacman,4.086929,1.261494
1560631_F_pacman,0.0003418972,5.104399e-05
1560631_R_pacman,0.0001992197,6.045784e-05
1560649_A_pacman,1310.765,1400.55
1560649_R_pacman,0.068897,0.0385378
1560677_A_pacman,2542571000.0,2336893000.0
1560677_F_pacman,0.6888183,0.1868859
1560677_R_pacman,1.681898e-19,3.442173e-19
1560687_A_pacman,2073751000.0,1325871000.0
1560687_R_pacman,1.775379e-05,1.64553e-06
1560688_A_pacman,881494200.0,931369300.0
1560688_R_pacman,5.51179e-05,9.836643e-06
1560689_A_pacman,1049294000.0,546241700.0
1560689_R_pacman,1.698753e-05,1.214567e-06
1560692_A_pacman,0.003114566,0.001221227
1560692_R_pacman,3.78389e-23,4.927053e-23
1560699_A_pacman,8.048799,7.62637
1560699_R_pacman,0.07233445,0.05589566
1560774_F_pacman,0.0007031715,0.0001771829
1560774_R_pacman,2.185425e-06,1.010894e-06
1560790_F_pacman,1.215311,0.5041278
1560790_R_pacman,3.255965e-10,4.896437e-10
1560837_F_pacman,2.541959e-05,1.677869e-05
1560837_R_pacman,1.007927e-18,3.31551e-19
1560839_A_pacman,0.0002783574,0.0001596014
1560839_R_pacman,1.725189e-05,8.089304e-06
1560996_F_pacman,0.0002733616,1.716392e-05
1560996_R_pacman,2.268238e-11,8.832163e-12
1560997_F_pacman,0.0001319809,1.231458e-05
1560997_R_pacman,1.177403e-20,8.625427e-21
1560999_R_pacman,0.0006820408,0.0002593224
1561012_R_pacman,1.735727e-05,3.299716e-06
1561038_F_pacman,8.326422e-06,2.167654e-07
1561038_R_pacman,2.148057e-05,2.617385e-06
1561060_A_pacman,0.001062248,0.0002423596
1561060_R_pacman,0.0001387845,2.980953e-05
1561079_A_pacman,3815012000.0,3133678000.0
1561079_F_pacman,4.92628e-05,3.651151e-05
1561079_R_pacman,1.605649e-16,3.896785e-16
1561114_A_pacman,5.623714,1.304677
1561114_F_pacman,0.02354129,0.009789439
1561114_R_pacman,1.344526e-40,3.613714e-40
1561115_A_pacman,14.56216,11.5293
1561115_F_pacman,0.04475737,0.02634123
1561115_R_pacman,4.279201e-15,2.499328e-15
1561126_A_pacman,7.317402,12.16327
1561126_F_pacman,0.05568796,0.01379833
1561126_R_pacman,1.934541e-42,4.649534e-42
1561214_A_pacman,0.01378832,0.005053086
1561214_R_pacman,0.008028688,0.002005333
1561215_A_pacman,0.0003160309,5.240192e-05
1561215_R_pacman,2.051171e-05,1.928162e-05
1561217_F_pacman,0.0002061844,5.024105e-05
1561217_R_pacman,2.700951e-06,3.57006e-07
1561218_A_pacman,0.0007828391,0.0005154487
1561218_R_pacman,0.0008413174,0.0001788227
1561269_A_pacman,0.3902162,0.1048287
1561269_R_pacman,1.55582e-55,2.546744e-55
1561284_A_pacman,36945120.0,75864220.0
1561284_R_pacman,1.896975e-05,2.261992e-06
1561296_A_pacman,6.062655e-06,7.297107e-07
1561296_R_pacman,6.424236e-06,4.624234e-07
1561302_F_pacman,0.000464018,0.0001367277
1561302_R_pacman,7.869289e-19,5.833192e-19
1561316_A_pacman,5.018248e-06,1.336601e-06
1561316_R_pacman,4.837887e-06,1.277717e-06
1561317_A_pacman,6.1546e-06,1.555429e-06
1561317_R_pacman,1.07519e-05,1.370539e-06
1561325_A_pacman,0.01545018,0.007843837
1561325_F_pacman,3.31047e-05,3.398773e-06
1561325_R_pacman,3.897379e-33,3.575498e-33
1561326_A_pacman,0.002648372,0.0009429072
1561326_F_pacman,0.0001089245,2.089086e-05
1561326_R_pacman,4.182592e-38,7.044401e-38
1561330_A_pacman,5.042485e-06,1.409397e-07
1561330_F_pacman,6.402647e-06,2.424201e-07
1561330_R_pacman,4.022775e-19,3.56399e-19
1561365_R_pacman,0.0002718979,5.307956e-06
1561392_A_pacman,0.006253173,0.002966898
1561392_F_pacman,0.01266084,0.00339989
1561392_R_pacman,0.0001935251,4.774882e-05
1561407_A_pacman,1.298161,0.7350403
1561407_F_pacman,0.001687305,0.0003843187
1561407_R_pacman,2.134514e-05,8.790776e-06
1561420_R_pacman,0.0006009213,0.00013749
1561421_F_pacman,0.001005725,0.0003263015
1561421_R_pacman,2.205457e-25,2.660401e-25
1561429_F_pacman,0.02910839,0.01308606
1561429_R_pacman,3.927337e-10,2.25414e-10
1561430_F_pacman,0.02495018,0.01240404
1561430_R_pacman,5.88616e-12,1.97332e-12
1561433_F_pacman,1.233998e-05,4.531052e-07
1561433_R_pacman,0.0008084385,0.0002692702
1561437_F_pacman,0.0002657327,4.673924e-05
1561437_R_pacman,0.0001395352,4.3105e-05
1561506_R_pacman,1.260354e-06,1.467869e-08
1561559_F_pacman,0.1113672,0.04454764
1561559_R_pacman,3.186847e-26,4.145721e-26
1561608_R_pacman,0.0001232925,5.028087e-05
1561609_R_pacman,9.548897e-05,2.170936e-05
1561618_A_pacman,0.07252287,0.03465628
1561618_F_pacman,4.391126,6.480222
